label,provider,model,category,metric,estimate,ci_low,ci_high,n_scored,n_calibration,n_self_consistency,n_hallucination_denominator,n_abstained,n_abstention_target,valid_resamples,undefined_resamples
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,hallucination_rate,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,abstention_precision,0.0,0.0,0.0,2,0,0,0,2,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,abstention_recall_category5,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,abstention_recall_category4,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,behavior_success,1.0,1.0,1.0,2,0,0,0,2,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,hedging_success_category4,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,ece_confidence:5,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,ece_confidence:15,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,hallucination_threshold_0.7,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,hallucination_threshold_0.9,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,ece_confidence,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,brier_confidence,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,ece_self_consistency,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,brier_self_consistency,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,hallucination_rate,0.0,0.0,0.0,2,0,0,2,2,2,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,abstention_precision,1.0,1.0,1.0,2,0,0,2,2,2,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,abstention_recall_category5,1.0,1.0,1.0,2,0,0,2,2,2,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,abstention_recall_category4,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,behavior_success,1.0,1.0,1.0,2,0,0,2,2,2,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,hedging_success_category4,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,ece_confidence:5,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,ece_confidence:15,,,,2,0,0,2,2,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,hallucination_threshold_0.7,0.0,0.0,0.0,2,0,0,2,2,2,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,unanswerable_adversarial,hallucination_threshold_0.9,0.0,0.0,0.0,2,0,0,2,2,2,2000,0
